,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,bfs,117.0,7.63,15.420000000000002
1,1005,bplustree,108.0,8.726666666666667,12.376666666666665
2,1005,cfd,126.0,11.853333333333333,10.626666666666667
3,1005,cutcp,99.0,5.083333333333333,19.486666666666665
4,1005,fft,111.0,4.676666666666667,23.75333333333333
5,1005,ge,155.0,9.123333333333333,16.986666666666668
6,1005,heartwall,106.0,12.676666666666668,8.36
7,1005,histo,114.0,66.70666666666666,1.7233333333333334
8,1005,hotspot,114.0,7.38,15.44
9,1005,kmeans,100.0,45.156666666666666,2.2133333333333334
10,1005,lavamd,109.0,5.233333333333333,20.823333333333334
11,1005,lbm,112.0,6.25,17.91333333333333
12,1005,lud,119.0,11.92,9.986666666666666
13,1005,mriq,109.0,4.13,26.386666666666667
14,1005,nw,115.0,19.343333333333334,5.946666666666666
15,1005,spmv,147.0,13.19,11.143333333333333
16,1005,srad,114.0,8.983333333333333,12.686666666666667
17,1005,stencil,125.0,5.6000000000000005,22.316666666666666
18,1005,tpacf,107.0,8.816666666666668,12.133333333333333
19,1020,bfs,117.0,7.986666666666667,14.67
20,1020,bplustree,108.0,8.71,12.4
21,1020,cfd,126.0,11.806666666666667,10.673333333333334
22,1020,cutcp,99.0,5.05,19.596666666666668
23,1020,fft,111.0,4.633333333333333,23.97
24,1020,ge,155.0,8.986666666666666,17.243333333333336
25,1020,heartwall,106.0,12.69,8.353333333333333
26,1020,histo,114.0,71.20666666666666,1.6000000000000003
27,1020,hotspot,114.0,7.353333333333333,15.5
28,1020,kmeans,100.0,45.129999999999995,2.2133333333333334
29,1020,lavamd,109.0,5.146666666666667,21.173333333333332
30,1020,lbm,112.0,6.183333333333334,18.116666666666664
31,1020,lud,119.0,11.69,10.18
32,1020,mriq,109.0,4.096666666666667,26.603333333333335
33,1020,nw,115.0,19.11,6.016666666666667
34,1020,spmv,147.0,13.113333333333332,11.21
35,1020,srad,114.0,9.0,12.67
36,1020,stencil,125.0,5.566666666666666,22.459999999999997
37,1020,tpacf,107.0,8.726666666666667,12.263333333333334
38,1035,bfs,117.0,7.890000000000001,14.863333333333335
39,1035,bplustree,108.0,8.546666666666667,12.643333333333333
40,1035,cfd,126.0,11.729999999999999,10.74
41,1035,cutcp,99.0,4.98,19.88
42,1035,fft,111.0,4.573333333333333,24.266666666666666
43,1035,ge,155.0,8.916666666666666,17.39
44,1035,heartwall,106.0,12.36,8.576666666666666
45,1035,histo,114.0,64.71,1.7766666666666666
46,1035,hotspot,114.0,7.276666666666666,15.663333333333334
47,1035,kmeans,100.0,45.13666666666666,2.2133333333333334
48,1035,lavamd,109.0,5.14,21.203333333333333
49,1035,lbm,112.0,6.133333333333333,18.266666666666666
50,1035,lud,119.0,11.64,10.223333333333334
51,1035,mriq,109.0,4.086666666666667,26.67
52,1035,nw,115.0,18.876666666666665,6.093333333333334
53,1035,spmv,147.0,13.153333333333334,11.176666666666668
54,1035,srad,114.0,8.886666666666665,12.833333333333334
55,1035,stencil,125.0,5.5566666666666675,22.5
56,1035,tpacf,107.0,8.61,12.433333333333332
57,1050,bfs,117.0,8.366666666666667,13.986666666666666
58,1050,bplustree,108.0,8.513333333333334,12.683333333333332
59,1050,cfd,126.0,11.693333333333333,10.776666666666666
60,1050,cutcp,99.0,4.9366666666666665,20.053333333333335
61,1050,fft,111.0,4.516666666666667,24.573333333333334
62,1050,ge,155.0,8.799999999999999,17.61
63,1050,heartwall,106.0,12.193333333333333,8.693333333333333
64,1050,histo,114.0,67.92,1.6866666666666668
65,1050,hotspot,114.0,7.203333333333333,15.829999999999998
66,1050,kmeans,100.0,45.120000000000005,2.216666666666667
67,1050,lavamd,109.0,5.09,21.42
68,1050,lbm,112.0,6.02,18.613333333333333
69,1050,lud,119.0,11.626666666666665,10.233333333333334
70,1050,mriq,109.0,4.006666666666667,27.213333333333335
71,1050,nw,115.0,18.743333333333336,6.136666666666667
72,1050,spmv,147.0,13.103333333333333,11.219999999999999
73,1050,srad,114.0,8.936666666666666,12.76
74,1050,stencil,125.0,5.47,22.853333333333335
75,1050,tpacf,107.0,8.536666666666667,12.536666666666667
76,1065,bfs,117.0,7.836666666666666,14.950000000000001
77,1065,bplustree,108.0,8.403333333333334,12.846666666666666
78,1065,cfd,126.0,11.586666666666666,10.873333333333333
79,1065,cutcp,99.0,4.890000000000001,20.24
80,1065,fft,111.0,4.503333333333334,24.643333333333334
81,1065,ge,155.0,8.67,17.87333333333333
82,1065,heartwall,106.0,12.06,8.79
83,1065,histo,114.0,67.06,1.72
84,1065,hotspot,114.0,7.18,15.88
85,1065,kmeans,100.0,45.09,2.216666666666667
86,1065,lavamd,109.0,5.066666666666666,21.5
87,1065,lbm,112.0,5.93,18.873333333333335
88,1065,lud,119.0,11.466666666666667,10.38
89,1065,mriq,109.0,4.013333333333333,27.166666666666668
90,1065,nw,115.0,18.349999999999998,6.266666666666666
91,1065,spmv,147.0,13.106666666666667,11.216666666666667
92,1065,srad,114.0,8.77,13.0
93,1065,stencil,125.0,5.390000000000001,23.203333333333333
94,1065,tpacf,107.0,8.466666666666667,12.64
95,1080,bfs,117.0,7.846666666666667,14.94
96,1080,bplustree,108.0,8.27,13.063333333333333
97,1080,cfd,126.0,11.526666666666666,10.933333333333332
98,1080,cutcp,99.0,4.8566666666666665,20.39
99,1080,fft,111.0,4.513333333333333,24.576666666666668
100,1080,ge,155.0,8.57,18.083333333333332
101,1080,heartwall,106.0,11.88,8.92
102,1080,histo,114.0,66.98,1.7066666666666668
103,1080,hotspot,114.0,7.156666666666666,15.926666666666668
104,1080,kmeans,100.0,45.15,2.216666666666667
105,1080,lavamd,109.0,5.09,21.416666666666668
106,1080,lbm,112.0,5.890000000000001,19.013333333333332
107,1080,lud,119.0,11.296666666666667,10.530000000000001
108,1080,mriq,109.0,4.0200000000000005,27.143333333333334
109,1080,nw,115.0,18.173333333333332,6.326666666666667
110,1080,spmv,147.0,13.13,11.196666666666667
111,1080,srad,114.0,8.716666666666667,13.076666666666666
112,1080,stencil,125.0,5.44,22.983333333333334
113,1080,tpacf,107.0,8.37,12.783333333333333
114,1095,bfs,117.0,8.026666666666666,14.666666666666666
115,1095,bplustree,108.0,8.246666666666668,13.1
116,1095,cfd,126.0,11.476666666666667,10.979999999999999
117,1095,cutcp,99.0,4.88,20.30666666666667
118,1095,fft,111.0,4.44,25.016666666666666
119,1095,ge,155.0,8.503333333333334,18.23
120,1095,heartwall,106.0,11.786666666666667,8.996666666666668
121,1095,histo,114.0,69.43666666666667,1.6433333333333333
122,1095,hotspot,114.0,7.11,16.036666666666665
123,1095,kmeans,100.0,45.29666666666666,2.2100000000000004
124,1095,lavamd,109.0,5.273333333333333,20.726666666666667
125,1095,lbm,112.0,5.829999999999999,19.206666666666667
126,1095,lud,119.0,11.35,10.486666666666666
127,1095,mriq,109.0,3.8966666666666665,27.963333333333335
128,1095,nw,115.0,17.846666666666668,6.446666666666666
129,1095,spmv,147.0,13.136666666666665,11.193333333333333
130,1095,srad,114.0,8.726666666666667,13.06
131,1095,stencil,125.0,5.34,23.403333333333332
132,1095,tpacf,107.0,8.283333333333333,12.916666666666666
133,1110,bfs,117.0,8.423333333333334,14.06
134,1110,bplustree,108.0,8.123333333333333,13.293333333333335
135,1110,cfd,126.0,11.306666666666667,11.143333333333333
136,1110,cutcp,99.0,4.763333333333333,20.786666666666665
137,1110,fft,111.0,4.413333333333333,25.13
138,1110,ge,155.0,8.39,18.47
139,1110,heartwall,106.0,11.709999999999999,9.049999999999999
140,1110,histo,114.0,65.92,1.7333333333333334
141,1110,hotspot,114.0,7.036666666666666,16.203333333333333
142,1110,kmeans,100.0,45.19333333333333,2.21
143,1110,lavamd,109.0,5.06,21.536666666666665
144,1110,lbm,112.0,5.736666666666667,19.516666666666666
145,1110,lud,119.0,11.163333333333334,10.663333333333334
146,1110,mriq,109.0,3.8800000000000003,28.08
147,1110,nw,115.0,17.546666666666667,6.55
148,1110,spmv,147.0,13.056666666666667,11.26
149,1110,srad,114.0,8.713333333333333,13.08
150,1110,stencil,125.0,5.283333333333333,23.673333333333332
151,1110,tpacf,107.0,8.263333333333334,12.949999999999998
152,1125,bfs,117.0,7.8,15.026666666666666
153,1125,bplustree,108.0,8.08,13.373333333333333
154,1125,cfd,126.0,11.383333333333333,11.073333333333332
155,1125,cutcp,99.0,4.716666666666667,20.986666666666668
156,1125,fft,111.0,4.373333333333334,25.376666666666665
157,1125,ge,155.0,8.266666666666666,18.746666666666666
158,1125,heartwall,106.0,11.423333333333332,9.28
159,1125,histo,114.0,69.40333333333334,1.6466666666666665
160,1125,hotspot,114.0,7.0566666666666675,16.16
161,1125,kmeans,100.0,45.20666666666667,2.21
162,1125,lavamd,109.0,4.98,21.89
163,1125,lbm,112.0,5.703333333333333,19.63
164,1125,lud,119.0,11.13,10.69
165,1125,mriq,109.0,3.823333333333333,28.486666666666668
166,1125,nw,115.0,17.349999999999998,6.626666666666666
167,1125,spmv,147.0,13.093333333333334,11.229999999999999
168,1125,srad,114.0,8.646666666666667,13.183333333333332
169,1125,stencil,125.0,5.260000000000001,23.76
170,1125,tpacf,107.0,8.13,13.160000000000002
171,1140,bfs,117.0,8.013333333333334,14.626666666666667
172,1140,bplustree,108.0,7.96,13.566666666666668
173,1140,cfd,126.0,11.183333333333332,11.266666666666666
174,1140,cutcp,99.0,4.653333333333333,21.27
175,1140,fft,111.0,4.359999999999999,25.473333333333333
176,1140,ge,155.0,8.21,18.883333333333333
177,1140,heartwall,106.0,11.316666666666668,9.363333333333333
178,1140,histo,114.0,66.53333333333333,1.7300000000000002
179,1140,hotspot,114.0,7.083333333333333,16.096666666666668
180,1140,kmeans,100.0,45.160000000000004,2.216666666666667
181,1140,lavamd,109.0,4.996666666666667,21.816666666666666
182,1140,lbm,112.0,5.7,19.650000000000002
183,1140,lud,119.0,11.066666666666668,10.753333333333332
184,1140,mriq,109.0,3.8166666666666664,28.55333333333333
185,1140,nw,115.0,17.173333333333332,6.7
186,1140,spmv,147.0,13.079999999999998,11.24
187,1140,srad,114.0,8.62,13.223333333333334
188,1140,stencil,125.0,5.243333333333333,23.853333333333335
189,1140,tpacf,107.0,8.076666666666666,13.246666666666668
190,1155,bfs,117.0,7.653333333333333,15.333333333333334
191,1155,bplustree,108.0,7.9433333333333325,13.596666666666666
192,1155,cfd,126.0,11.183333333333332,11.266666666666666
193,1155,cutcp,99.0,4.67,21.206666666666667
194,1155,fft,111.0,4.343333333333334,25.543333333333333
195,1155,ge,155.0,8.116666666666667,19.09
196,1155,heartwall,106.0,11.166666666666666,9.49
197,1155,histo,114.0,66.06666666666666,1.75
198,1155,hotspot,114.0,6.91,16.5
199,1155,kmeans,100.0,45.096666666666664,2.22
200,1155,lavamd,109.0,5.0633333333333335,21.53333333333333
201,1155,lbm,112.0,5.636666666666667,19.863333333333333
202,1155,lud,119.0,10.926666666666668,10.89
203,1155,mriq,109.0,3.83,28.463333333333335
204,1155,nw,115.0,16.953333333333333,6.78
205,1155,spmv,147.0,13.030000000000001,11.283333333333333
206,1155,srad,114.0,8.573333333333332,13.293333333333331
207,1155,stencil,125.0,5.16,24.21666666666667
208,1155,tpacf,107.0,8.003333333333332,13.366666666666667
209,1170,bfs,117.0,7.706666666666667,15.216666666666667
210,1170,bplustree,108.0,7.846666666666667,13.763333333333334
211,1170,cfd,126.0,11.160000000000002,11.290000000000001
212,1170,cutcp,99.0,4.623333333333334,21.426666666666666
213,1170,fft,111.0,4.56,24.453333333333333
214,1170,ge,155.0,8.103333333333333,19.12
215,1170,heartwall,106.0,11.056666666666667,9.586666666666668
216,1170,histo,114.0,63.54333333333333,1.8099999999999998
217,1170,hotspot,114.0,6.916666666666667,16.483333333333334
218,1170,kmeans,100.0,45.11666666666667,2.22
219,1170,lavamd,109.0,4.996666666666667,21.826666666666668
220,1170,lbm,112.0,5.6000000000000005,20.006666666666664
221,1170,lud,119.0,10.873333333333335,10.946666666666665
222,1170,mriq,109.0,3.75,29.060000000000002
