,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,bfs,117.0,7.63,15.420000000000002
1,1020,bfs,117.0,7.986666666666667,14.67
2,1035,bfs,117.0,7.890000000000001,14.863333333333337
3,1050,bfs,117.0,8.366666666666667,13.986666666666666
4,1065,bfs,117.0,7.836666666666666,14.95
5,1080,bfs,117.0,7.846666666666667,14.94
6,1095,bfs,117.0,8.026666666666666,14.666666666666666
7,1110,bfs,117.0,8.423333333333334,14.06
8,1125,bfs,117.0,7.8,15.026666666666666
9,1140,bfs,117.0,8.013333333333334,14.626666666666669
10,1155,bfs,117.0,7.653333333333333,15.333333333333334
11,1170,bfs,117.0,7.706666666666667,15.216666666666669
12,1185,bfs,117.0,7.833333333333333,14.973333333333334
13,1200,bfs,117.0,7.913333333333333,14.829999999999998
14,1215,bfs,117.0,8.090000000000002,14.466666666666669
15,1230,bfs,117.0,7.533333333333334,15.589999999999998
16,1245,bfs,117.0,8.063333333333333,14.506666666666666
17,1260,bfs,117.0,8.106666666666667,14.43
18,1275,bfs,117.0,8.153333333333334,14.36
19,1290,bfs,117.0,7.816666666666666,15.113333333333337
20,1305,bfs,117.0,7.526666666666666,15.58
21,1320,bfs,117.0,7.140000000000001,16.396666666666665
22,1335,bfs,117.0,7.63,15.363333333333337
23,1350,bfs,117.0,7.636666666666666,15.423333333333334
24,1365,bfs,117.0,7.336666666666666,15.986666666666666
25,1380,bfs,117.0,7.636666666666667,15.356666666666667
26,1395,bfs,117.0,7.73,15.183333333333332
27,1410,bfs,117.0,7.44,15.77
28,510,bfs,117.0,10.24,11.443333333333332
29,525,bfs,117.0,9.866666666666667,11.856666666666667
30,540,bfs,117.0,9.863333333333332,11.86
31,555,bfs,117.0,9.89,11.846666666666666
32,570,bfs,117.0,10.05,11.660000000000002
33,585,bfs,117.0,10.026666666666666,11.686666666666667
34,600,bfs,117.0,10.073333333333332,11.623333333333331
35,615,bfs,117.0,10.613333333333332,11.160000000000002
36,630,bfs,117.0,9.976666666666668,11.74
37,645,bfs,117.0,9.916666666666666,11.8
38,660,bfs,117.0,9.496666666666668,12.33
39,675,bfs,117.0,9.58,12.246666666666668
40,690,bfs,117.0,9.256666666666666,12.71
41,705,bfs,117.0,9.053333333333333,12.946666666666667
42,720,bfs,117.0,8.793333333333335,13.31
43,735,bfs,117.0,9.27,12.643333333333333
44,750,bfs,117.0,8.566666666666666,13.676666666666668
45,765,bfs,117.0,9.31,12.61
46,780,bfs,117.0,8.33,14.043333333333337
47,795,bfs,117.0,8.633333333333333,13.57
48,810,bfs,117.0,8.413333333333334,13.933333333333332
49,825,bfs,117.0,8.263333333333334,14.223333333333334
50,840,bfs,117.0,8.393333333333333,13.986666666666666
51,855,bfs,117.0,8.686666666666667,13.506666666666666
52,870,bfs,117.0,8.303333333333333,14.113333333333337
53,885,bfs,117.0,8.353333333333333,14.023333333333332
54,900,bfs,117.0,8.5,13.783333333333331
55,915,bfs,117.0,7.736666666666667,15.14
56,930,bfs,117.0,8.516666666666667,13.776666666666666
57,945,bfs,117.0,7.863333333333333,14.876666666666663
58,960,bfs,117.0,8.11,14.453333333333331
59,975,bfs,117.0,7.996666666666666,14.666666666666666
60,990,bfs,117.0,8.493333333333334,13.776666666666666
