,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,cfd,126.0,11.853333333333332,10.626666666666669
1,1020,cfd,126.0,11.806666666666668,10.673333333333334
2,1035,cfd,126.0,11.73,10.74
3,1050,cfd,126.0,11.693333333333332,10.776666666666666
4,1065,cfd,126.0,11.586666666666666,10.873333333333331
5,1080,cfd,126.0,11.526666666666666,10.933333333333332
6,1095,cfd,126.0,11.476666666666668,10.98
7,1110,cfd,126.0,11.306666666666668,11.143333333333333
8,1125,cfd,126.0,11.383333333333333,11.073333333333332
9,1140,cfd,126.0,11.183333333333332,11.266666666666666
10,1155,cfd,126.0,11.183333333333332,11.266666666666666
11,1170,cfd,126.0,11.160000000000002,11.29
12,1185,cfd,126.0,11.05,11.406666666666666
13,1200,cfd,126.0,11.026666666666666,11.426666666666668
14,1215,cfd,126.0,10.983333333333334,11.476666666666668
15,1230,cfd,126.0,10.833333333333334,11.633333333333333
16,1245,cfd,126.0,10.88,11.58
17,1260,cfd,126.0,10.743333333333334,11.726666666666668
18,1275,cfd,126.0,10.8,11.67
19,1290,cfd,126.0,10.593333333333334,11.896666666666668
20,1305,cfd,126.0,10.583333333333334,11.906666666666666
21,1320,cfd,126.0,10.406666666666666,12.103333333333332
22,1335,cfd,126.0,10.28,12.26
23,1350,cfd,126.0,10.136666666666668,12.433333333333332
24,1365,cfd,126.0,10.146666666666668,12.416666666666666
25,1380,cfd,126.0,9.99,12.616666666666667
26,1395,cfd,126.0,10.06,12.526666666666666
27,1410,cfd,126.0,9.96,12.656666666666666
28,510,cfd,126.0,16.55666666666667,7.613333333333333
29,525,cfd,126.0,16.43,7.669999999999999
30,540,cfd,126.0,16.25,7.756666666666667
31,555,cfd,126.0,16.13,7.813333333333333
32,570,cfd,126.0,15.98,7.883333333333333
33,585,cfd,126.0,15.886666666666663,7.933333333333334
34,600,cfd,126.0,15.74,8.006666666666666
35,615,cfd,126.0,15.56,8.1
36,630,cfd,126.0,15.52,8.12
37,645,cfd,126.0,14.923333333333332,8.44
38,660,cfd,126.0,14.986666666666666,8.406666666666666
39,675,cfd,126.0,14.94,8.433333333333334
40,690,cfd,126.0,14.339999999999998,8.790000000000001
41,705,cfd,126.0,14.353333333333332,8.78
42,720,cfd,126.0,14.23,8.856666666666667
43,735,cfd,126.0,14.193333333333332,8.88
44,750,cfd,126.0,13.723333333333334,9.186666666666666
45,765,cfd,126.0,13.68,9.213333333333331
46,780,cfd,126.0,13.716666666666669,9.183333333333334
47,795,cfd,126.0,13.596666666666666,9.266666666666666
48,810,cfd,126.0,13.206666666666669,9.543333333333331
49,825,cfd,126.0,13.076666666666666,9.636666666666663
50,840,cfd,126.0,13.126666666666663,9.596666666666666
51,855,cfd,126.0,12.73,9.9
52,870,cfd,126.0,12.703333333333331,9.923333333333334
53,885,cfd,126.0,12.636666666666663,9.973333333333334
54,900,cfd,126.0,12.606666666666667,9.993333333333332
55,915,cfd,126.0,12.45,10.12
56,930,cfd,126.0,12.383333333333333,10.18
57,945,cfd,126.0,12.160000000000002,10.36
58,960,cfd,126.0,12.006666666666668,10.49
59,975,cfd,126.0,11.883333333333333,10.606666666666667
60,990,cfd,126.0,11.923333333333332,10.57
