,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,cutcp,99.0,5.083333333333333,19.486666666666665
1,1020,cutcp,99.0,5.05,19.596666666666668
2,1035,cutcp,99.0,4.98,19.88
3,1050,cutcp,99.0,4.9366666666666665,20.05333333333333
4,1065,cutcp,99.0,4.890000000000001,20.24
5,1080,cutcp,99.0,4.8566666666666665,20.39
6,1095,cutcp,99.0,4.88,20.30666666666667
7,1110,cutcp,99.0,4.763333333333333,20.786666666666665
8,1125,cutcp,99.0,4.716666666666667,20.986666666666668
9,1140,cutcp,99.0,4.653333333333333,21.27
10,1155,cutcp,99.0,4.67,21.206666666666667
11,1170,cutcp,99.0,4.623333333333334,21.426666666666662
12,1185,cutcp,99.0,4.553333333333334,21.74666666666667
13,1200,cutcp,99.0,4.56,21.72
14,1215,cutcp,99.0,4.55,21.76666666666667
15,1230,cutcp,99.0,4.443333333333333,22.290000000000003
16,1245,cutcp,99.0,4.403333333333333,22.496666666666663
17,1260,cutcp,99.0,4.376666666666666,22.633333333333336
18,1275,cutcp,99.0,4.343333333333334,22.80666666666667
19,1290,cutcp,99.0,4.25,23.293333333333333
20,1305,cutcp,99.0,4.386666666666667,22.593333333333334
21,1320,cutcp,99.0,4.23,23.406666666666663
22,1335,cutcp,99.0,4.156666666666666,23.82333333333333
23,1350,cutcp,99.0,4.306666666666667,23.016666666666666
24,1365,cutcp,99.0,4.1000000000000005,24.133333333333336
25,1380,cutcp,99.0,4.0633333333333335,24.376666666666665
26,1395,cutcp,99.0,4.123333333333334,24.01333333333333
27,1410,cutcp,99.0,4.103333333333333,24.126666666666665
28,510,cutcp,99.0,8.623333333333333,11.476666666666668
29,525,cutcp,99.0,8.353333333333333,11.85
30,540,cutcp,99.0,8.256666666666666,11.99
31,555,cutcp,99.0,8.096666666666666,12.226666666666668
32,570,cutcp,99.0,7.903333333333333,12.526666666666666
33,585,cutcp,99.0,7.79,12.706666666666669
34,600,cutcp,99.0,7.546666666666667,13.113333333333337
35,615,cutcp,99.0,7.406666666666666,13.37
36,630,cutcp,99.0,7.283333333333334,13.593333333333334
37,645,cutcp,99.0,7.140000000000001,13.863333333333337
38,660,cutcp,99.0,7.010000000000001,14.123333333333331
39,675,cutcp,99.0,6.883333333333333,14.386666666666668
40,690,cutcp,99.0,6.746666666666667,14.676666666666668
41,705,cutcp,99.0,6.623333333333334,14.946666666666667
42,720,cutcp,99.0,6.510000000000001,15.203333333333331
43,735,cutcp,99.0,6.489999999999999,15.263333333333334
44,750,cutcp,99.0,6.366666666666667,15.546666666666669
45,765,cutcp,99.0,6.23,15.883333333333333
46,780,cutcp,99.0,6.146666666666666,16.103333333333335
47,795,cutcp,99.0,6.039999999999999,16.39
48,810,cutcp,99.0,5.956666666666667,16.623333333333335
49,825,cutcp,99.0,5.94,16.67
50,840,cutcp,99.0,5.803333333333334,17.05666666666667
51,855,cutcp,99.0,5.71,17.336666666666666
52,870,cutcp,99.0,5.6866666666666665,17.403333333333332
53,885,cutcp,99.0,5.57,17.766666666666666
54,900,cutcp,99.0,5.513333333333333,17.956666666666667
55,915,cutcp,99.0,5.476666666666667,18.07333333333333
56,930,cutcp,99.0,5.396666666666667,18.35
57,945,cutcp,99.0,5.329999999999999,18.58333333333333
58,960,cutcp,99.0,5.236666666666667,18.89
59,975,cutcp,99.0,5.263333333333333,18.81
60,990,cutcp,99.0,5.1466666666666665,19.24
