,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,fft,111.0,4.676666666666667,23.75333333333333
1,1020,fft,111.0,4.633333333333333,23.97
2,1035,fft,111.0,4.573333333333333,24.266666666666666
3,1050,fft,111.0,4.516666666666667,24.57333333333333
4,1065,fft,111.0,4.503333333333334,24.64333333333333
5,1080,fft,111.0,4.513333333333333,24.576666666666668
6,1095,fft,111.0,4.44,25.016666666666666
7,1110,fft,111.0,4.413333333333333,25.13
8,1125,fft,111.0,4.373333333333334,25.376666666666665
9,1140,fft,111.0,4.359999999999999,25.473333333333333
10,1155,fft,111.0,4.343333333333334,25.543333333333333
11,1170,fft,111.0,4.56,24.453333333333333
12,1185,fft,111.0,4.333333333333333,25.636666666666667
13,1200,fft,111.0,4.32,25.69333333333333
14,1215,fft,111.0,4.343333333333334,25.56
15,1230,fft,111.0,4.29,25.883333333333336
16,1245,fft,111.0,4.316666666666666,25.74
17,1260,fft,111.0,4.293333333333333,25.866666666666664
18,1275,fft,111.0,4.28,25.94
19,1290,fft,111.0,4.276666666666667,25.95
20,1305,fft,111.0,4.3133333333333335,25.723333333333333
21,1320,fft,111.0,4.263333333333333,26.036666666666665
22,1335,fft,111.0,4.3,25.8
23,1350,fft,111.0,4.3133333333333335,25.74
24,1365,fft,111.0,4.31,25.77
25,1380,fft,111.0,4.306666666666666,25.77
26,1395,fft,111.0,4.266666666666667,26.026666666666667
27,1410,fft,111.0,4.2700000000000005,25.99
28,510,fft,111.0,8.08,13.743333333333334
29,525,fft,111.0,7.859999999999999,14.123333333333337
30,540,fft,111.0,7.706666666666667,14.4
31,555,fft,111.0,7.523333333333333,14.753333333333332
32,570,fft,111.0,7.35,15.1
33,585,fft,111.0,7.243333333333333,15.326666666666668
34,600,fft,111.0,7.086666666666666,15.663333333333334
35,615,fft,111.0,6.936666666666667,16.0
36,630,fft,111.0,6.843333333333334,16.216666666666665
37,645,fft,111.0,6.646666666666667,16.7
38,660,fft,111.0,6.536666666666666,16.976666666666663
39,675,fft,111.0,6.406666666666666,17.330000000000002
40,690,fft,111.0,6.303333333333334,17.603333333333335
41,705,fft,111.0,6.166666666666667,18.0
42,720,fft,111.0,6.043333333333334,18.356666666666666
43,735,fft,111.0,5.97,18.59
44,750,fft,111.0,5.830000000000001,19.036666666666665
45,765,fft,111.0,5.783333333333334,19.19666666666667
46,780,fft,111.0,5.666666666666667,19.59
47,795,fft,111.0,5.573333333333333,19.916666666666668
48,810,fft,111.0,5.466666666666666,20.313333333333333
49,825,fft,111.0,5.406666666666666,20.53
50,840,fft,111.0,5.32,20.87
51,855,fft,111.0,5.323333333333333,20.856666666666666
52,870,fft,111.0,5.170000000000001,21.46
53,885,fft,111.0,5.086666666666667,21.82333333333333
54,900,fft,111.0,5.033333333333333,22.043333333333333
55,915,fft,111.0,4.993333333333333,22.23333333333333
56,930,fft,111.0,4.99,22.25333333333333
57,945,fft,111.0,4.853333333333333,22.863333333333333
58,960,fft,111.0,4.786666666666666,23.2
59,975,fft,111.0,4.75,23.376666666666665
60,990,fft,111.0,4.6866666666666665,23.683333333333334
