,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,ge,155.0,9.123333333333331,16.986666666666668
1,1020,ge,155.0,8.986666666666666,17.243333333333336
2,1035,ge,155.0,8.916666666666666,17.39
3,1050,ge,155.0,8.799999999999999,17.61
4,1065,ge,155.0,8.67,17.87333333333333
5,1080,ge,155.0,8.57,18.08333333333333
6,1095,ge,155.0,8.503333333333334,18.23
7,1110,ge,155.0,8.39,18.47
8,1125,ge,155.0,8.266666666666666,18.746666666666663
9,1140,ge,155.0,8.21,18.883333333333333
10,1155,ge,155.0,8.116666666666667,19.09
11,1170,ge,155.0,8.103333333333333,19.12
12,1185,ge,155.0,7.946666666666666,19.506666666666664
13,1200,ge,155.0,7.85,19.74
14,1215,ge,155.0,7.796666666666667,19.886666666666667
15,1230,ge,155.0,7.756666666666667,19.976666666666667
16,1245,ge,155.0,7.66,20.23333333333333
17,1260,ge,155.0,7.606666666666666,20.37666666666667
18,1275,ge,155.0,7.543333333333333,20.543333333333333
19,1290,ge,155.0,7.420000000000001,20.886666666666667
20,1305,ge,155.0,7.393333333333333,20.966666666666665
21,1320,ge,155.0,7.343333333333334,21.113333333333333
22,1335,ge,155.0,7.253333333333333,21.366666666666664
23,1350,ge,155.0,7.166666666666667,21.62
24,1365,ge,155.0,7.16,21.66
25,1380,ge,155.0,7.080000000000001,21.89
26,1395,ge,155.0,7.016666666666667,22.086666666666662
27,1410,ge,155.0,6.97,22.25
28,510,ge,155.0,13.803333333333333,11.233333333333334
29,525,ge,155.0,13.813333333333333,11.223333333333334
30,540,ge,155.0,13.776666666666666,11.253333333333332
31,555,ge,155.0,13.77,11.256666666666666
32,570,ge,155.0,13.73,11.286666666666669
33,585,ge,155.0,13.666666666666666,11.339999999999998
34,600,ge,155.0,13.65,11.353333333333332
35,615,ge,155.0,13.616666666666667,11.376666666666669
36,630,ge,155.0,13.6,11.396666666666668
37,645,ge,155.0,12.866666666666667,12.046666666666669
38,660,ge,155.0,12.883333333333333,12.03
39,675,ge,155.0,12.94,11.98
40,690,ge,155.0,11.89,13.036666666666669
41,705,ge,155.0,11.883333333333333,13.046666666666669
42,720,ge,155.0,11.873333333333337,13.056666666666668
43,735,ge,155.0,11.876666666666669,13.046666666666669
44,750,ge,155.0,11.213333333333331,13.826666666666668
45,765,ge,155.0,11.233333333333334,13.796666666666669
46,780,ge,155.0,11.24,13.793333333333337
47,795,ge,155.0,11.206666666666669,13.833333333333334
48,810,ge,155.0,10.64,14.566666666666668
49,825,ge,155.0,10.59,14.633333333333333
50,840,ge,155.0,10.65,14.556666666666668
51,855,ge,155.0,10.023333333333332,15.466666666666669
52,870,ge,155.0,9.996666666666668,15.5
53,885,ge,155.0,10.03,15.453333333333331
54,900,ge,155.0,10.01,15.483333333333334
55,915,ge,155.0,9.746666666666666,15.9
56,930,ge,155.0,9.81,15.796666666666669
57,945,ge,155.0,9.593333333333334,16.156666666666666
58,960,ge,155.0,9.466666666666669,16.376666666666665
59,975,ge,155.0,9.306666666666668,16.653333333333332
60,990,ge,155.0,9.183333333333334,16.883333333333333
