,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,histo,114.0,66.70666666666666,1.7233333333333334
1,1020,histo,114.0,71.20666666666666,1.6000000000000003
2,1035,histo,114.0,64.71,1.7766666666666666
3,1050,histo,114.0,67.92,1.6866666666666668
4,1065,histo,114.0,67.06,1.72
5,1080,histo,114.0,66.98,1.7066666666666668
6,1095,histo,114.0,69.43666666666667,1.643333333333333
7,1110,histo,114.0,65.92,1.7333333333333334
8,1125,histo,114.0,69.40333333333334,1.6466666666666665
9,1140,histo,114.0,66.53333333333333,1.7300000000000002
10,1155,histo,114.0,66.06666666666666,1.75
11,1170,histo,114.0,63.54333333333333,1.81
12,1185,histo,114.0,70.31,1.62
13,1200,histo,114.0,66.16666666666667,1.7299999999999998
14,1215,histo,114.0,68.88,1.653333333333333
15,1230,histo,114.0,64.89333333333333,1.7666666666666666
16,1245,histo,114.0,69.39,1.643333333333333
17,1260,histo,114.0,65.33666666666666,1.7566666666666666
18,1275,histo,114.0,66.05333333333333,1.7299999999999998
19,1290,histo,114.0,61.99,1.8633333333333333
20,1305,histo,114.0,65.24333333333333,1.7533333333333332
21,1320,histo,114.0,69.52666666666666,1.6366666666666667
22,1335,histo,114.0,67.87,1.68
23,1350,histo,114.0,68.69666666666666,1.66
24,1365,histo,114.0,64.50999999999999,1.7766666666666666
25,1380,histo,114.0,63.92,1.79
26,1395,histo,114.0,66.36,1.7233333333333334
27,1410,histo,114.0,56.946666666666665,2.0033333333333334
28,510,histo,114.0,77.60666666666667,1.4666666666666668
29,525,histo,114.0,72.46666666666667,1.5833333333333333
30,540,histo,114.0,77.50666666666666,1.4733333333333334
31,555,histo,114.0,77.54333333333334,1.4733333333333334
32,570,histo,114.0,76.29,1.4966666666666668
33,585,histo,114.0,75.68333333333334,1.51
34,600,histo,114.0,75.8,1.5033333333333332
35,615,histo,114.0,75.64,1.5099999999999998
36,630,histo,114.0,74.82,1.5233333333333334
37,645,histo,114.0,77.68333333333334,1.4666666666666668
38,660,histo,114.0,71.36,1.6
39,675,histo,114.0,74.89,1.5200000000000002
40,690,histo,114.0,66.90333333333332,1.7066666666666668
41,705,histo,114.0,75.88,1.5
42,720,histo,114.0,69.89,1.6366666666666667
43,735,histo,114.0,75.41333333333334,1.51
44,750,histo,114.0,72.14666666666666,1.58
45,765,histo,114.0,71.53,1.596666666666667
46,780,histo,114.0,73.90666666666665,1.5433333333333332
47,795,histo,114.0,72.66333333333334,1.5733333333333333
48,810,histo,114.0,71.34,1.6033333333333335
49,825,histo,114.0,72.89,1.5633333333333332
50,840,histo,114.0,70.88333333333334,1.62
51,855,histo,114.0,72.55666666666667,1.5733333333333337
52,870,histo,114.0,71.41000000000001,1.6
53,885,histo,114.0,72.33,1.5766666666666669
54,900,histo,114.0,69.18333333333334,1.66
55,915,histo,114.0,66.93333333333334,1.7133333333333332
56,930,histo,114.0,67.58333333333333,1.6900000000000002
57,945,histo,114.0,69.84333333333333,1.6333333333333335
58,960,histo,114.0,65.00666666666666,1.7633333333333334
59,975,histo,114.0,69.39333333333333,1.643333333333333
60,990,histo,114.0,72.37666666666667,1.5733333333333337
