,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,hotspot,114.0,7.38,15.44
1,1020,hotspot,114.0,7.353333333333333,15.5
2,1035,hotspot,114.0,7.276666666666666,15.663333333333334
3,1050,hotspot,114.0,7.203333333333333,15.829999999999998
4,1065,hotspot,114.0,7.18,15.88
5,1080,hotspot,114.0,7.156666666666666,15.926666666666668
6,1095,hotspot,114.0,7.11,16.036666666666665
7,1110,hotspot,114.0,7.036666666666666,16.203333333333333
8,1125,hotspot,114.0,7.056666666666668,16.16
9,1140,hotspot,114.0,7.083333333333333,16.096666666666668
10,1155,hotspot,114.0,6.91,16.5
11,1170,hotspot,114.0,6.916666666666667,16.483333333333334
12,1185,hotspot,114.0,6.843333333333334,16.66
13,1200,hotspot,114.0,6.816666666666666,16.72
14,1215,hotspot,114.0,6.756666666666667,16.866666666666667
15,1230,hotspot,114.0,6.75,16.893333333333334
16,1245,hotspot,114.0,6.703333333333333,17.003333333333334
17,1260,hotspot,114.0,6.636666666666667,17.173333333333332
18,1275,hotspot,114.0,6.573333333333333,17.343333333333334
19,1290,hotspot,114.0,6.63,17.19666666666667
20,1305,hotspot,114.0,6.59,17.296666666666667
21,1320,hotspot,114.0,6.553333333333334,17.396666666666665
22,1335,hotspot,114.0,6.576666666666667,17.33
23,1350,hotspot,114.0,6.45,17.676666666666666
24,1365,hotspot,114.0,6.43,17.74
25,1380,hotspot,114.0,6.416666666666667,17.766666666666666
26,1395,hotspot,114.0,6.396666666666667,17.823333333333334
27,1410,hotspot,114.0,6.3933333333333335,17.843333333333334
28,510,hotspot,114.0,11.366666666666667,10.026666666666666
29,525,hotspot,114.0,11.263333333333334,10.12
30,540,hotspot,114.0,11.076666666666668,10.293333333333331
31,555,hotspot,114.0,10.893333333333333,10.466666666666669
32,570,hotspot,114.0,10.75,10.603333333333332
33,585,hotspot,114.0,10.58,10.78
34,600,hotspot,114.0,10.44,10.92
35,615,hotspot,114.0,10.31,11.06
36,630,hotspot,114.0,10.176666666666668,11.2
37,645,hotspot,114.0,9.72,11.73
38,660,hotspot,114.0,9.67,11.79
39,675,hotspot,114.0,9.476666666666668,12.026666666666666
40,690,hotspot,114.0,9.203333333333331,12.386666666666663
41,705,hotspot,114.0,9.12,12.5
42,720,hotspot,114.0,9.006666666666666,12.659999999999998
43,735,hotspot,114.0,8.85,12.876666666666669
44,750,hotspot,114.0,8.62,13.22
45,765,hotspot,114.0,8.543333333333333,13.346666666666666
46,780,hotspot,114.0,8.433333333333332,13.516666666666666
47,795,hotspot,114.0,8.36,13.633333333333333
48,810,hotspot,114.0,8.28,13.77
49,825,hotspot,114.0,8.183333333333332,13.93
50,840,hotspot,114.0,8.103333333333333,14.066666666666668
51,855,hotspot,114.0,8.003333333333332,14.246666666666664
52,870,hotspot,114.0,8.003333333333334,14.25
53,885,hotspot,114.0,7.873333333333332,14.483333333333334
54,900,hotspot,114.0,7.8066666666666675,14.603333333333332
55,915,hotspot,114.0,7.766666666666667,14.676666666666668
56,930,hotspot,114.0,7.663333333333334,14.873333333333337
57,945,hotspot,114.0,7.609999999999999,14.98
58,960,hotspot,114.0,7.603333333333334,14.996666666666668
59,975,hotspot,114.0,7.533333333333334,15.13
60,990,hotspot,114.0,7.563333333333333,15.07
