,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,kmeans,100.0,45.156666666666666,2.2133333333333334
1,1020,kmeans,100.0,45.13,2.2133333333333334
2,1035,kmeans,100.0,45.13666666666666,2.2133333333333334
3,1050,kmeans,100.0,45.120000000000005,2.216666666666667
4,1065,kmeans,100.0,45.09,2.216666666666667
5,1080,kmeans,100.0,45.15,2.216666666666667
6,1095,kmeans,100.0,45.29666666666666,2.2100000000000004
7,1110,kmeans,100.0,45.19333333333333,2.21
8,1125,kmeans,100.0,45.20666666666667,2.21
9,1140,kmeans,100.0,45.16,2.216666666666667
10,1155,kmeans,100.0,45.09666666666666,2.22
11,1170,kmeans,100.0,45.11666666666667,2.22
12,1185,kmeans,100.0,45.20666666666667,2.2133333333333334
13,1200,kmeans,100.0,45.156666666666666,2.216666666666667
14,1215,kmeans,100.0,45.01666666666667,2.216666666666667
15,1230,kmeans,100.0,45.13999999999999,2.2133333333333334
16,1245,kmeans,100.0,45.120000000000005,2.216666666666667
17,1260,kmeans,100.0,45.053333333333335,2.22
18,1275,kmeans,100.0,45.18,2.2133333333333334
19,1290,kmeans,100.0,45.09666666666666,2.216666666666667
20,1305,kmeans,100.0,44.96666666666667,2.223333333333333
21,1320,kmeans,100.0,45.13666666666666,2.2133333333333334
22,1335,kmeans,100.0,45.05,2.22
23,1350,kmeans,100.0,45.23333333333333,2.2133333333333334
24,1365,kmeans,100.0,45.080000000000005,2.22
25,1380,kmeans,100.0,45.06333333333333,2.22
26,1395,kmeans,100.0,45.27666666666667,2.2066666666666666
27,1410,kmeans,100.0,45.086666666666666,2.216666666666667
28,510,kmeans,100.0,45.74333333333333,2.183333333333333
29,525,kmeans,100.0,45.60999999999999,2.19
30,540,kmeans,100.0,45.60999999999999,2.19
31,555,kmeans,100.0,45.79,2.18
32,570,kmeans,100.0,45.473333333333336,2.2
33,585,kmeans,100.0,45.656666666666666,2.19
34,600,kmeans,100.0,45.61666666666667,2.19
35,615,kmeans,100.0,45.52666666666666,2.2
36,630,kmeans,100.0,45.66,2.19
37,645,kmeans,100.0,45.36666666666667,2.2033333333333336
38,660,kmeans,100.0,45.46,2.2
39,675,kmeans,100.0,45.71,2.19
40,690,kmeans,100.0,45.29666666666666,2.21
41,705,kmeans,100.0,45.32333333333333,2.21
42,720,kmeans,100.0,45.446666666666665,2.2
43,735,kmeans,100.0,44.74666666666667,2.236666666666667
44,750,kmeans,100.0,45.29666666666666,2.21
45,765,kmeans,100.0,45.85,2.183333333333333
46,780,kmeans,100.0,45.31666666666666,2.2066666666666666
47,795,kmeans,100.0,44.59,2.2433333333333336
48,810,kmeans,100.0,45.29333333333333,2.21
49,825,kmeans,100.0,45.31,2.2066666666666666
50,840,kmeans,100.0,45.25666666666666,2.2100000000000004
51,855,kmeans,100.0,45.330000000000005,2.203333333333333
52,870,kmeans,100.0,45.85666666666666,2.18
53,885,kmeans,100.0,45.21666666666667,2.21
54,900,kmeans,100.0,45.19,2.21
55,915,kmeans,100.0,45.156666666666666,2.216666666666667
56,930,kmeans,100.0,45.19,2.21
57,945,kmeans,100.0,45.15,2.2133333333333334
58,960,kmeans,100.0,45.223333333333336,2.21
59,975,kmeans,100.0,44.60666666666666,2.24
60,990,kmeans,100.0,45.16333333333333,2.2133333333333334
