,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,lavamd,109.0,5.233333333333333,20.82333333333333
1,1020,lavamd,109.0,5.146666666666667,21.17333333333333
2,1035,lavamd,109.0,5.14,21.203333333333333
3,1050,lavamd,109.0,5.09,21.42
4,1065,lavamd,109.0,5.066666666666666,21.5
5,1080,lavamd,109.0,5.09,21.416666666666668
6,1095,lavamd,109.0,5.273333333333333,20.726666666666667
7,1110,lavamd,109.0,5.06,21.536666666666665
8,1125,lavamd,109.0,4.98,21.89
9,1140,lavamd,109.0,4.996666666666667,21.816666666666663
10,1155,lavamd,109.0,5.0633333333333335,21.53333333333333
11,1170,lavamd,109.0,4.996666666666667,21.826666666666668
12,1185,lavamd,109.0,5.03,21.67333333333333
13,1200,lavamd,109.0,4.943333333333333,22.040000000000003
14,1215,lavamd,109.0,5.010000000000001,21.756666666666664
15,1230,lavamd,109.0,4.956666666666666,21.986666666666668
16,1245,lavamd,109.0,4.926666666666667,22.11
17,1260,lavamd,109.0,4.88,22.343333333333334
18,1275,lavamd,109.0,4.906666666666666,22.22
19,1290,lavamd,109.0,5.023333333333333,21.71
20,1305,lavamd,109.0,4.89,22.30666666666667
21,1320,lavamd,109.0,4.823333333333333,22.60333333333333
22,1335,lavamd,109.0,4.8566666666666665,22.45
23,1350,lavamd,109.0,4.933333333333334,22.096666666666664
24,1365,lavamd,109.0,4.8133333333333335,22.633333333333336
25,1380,lavamd,109.0,4.81,22.656666666666663
26,1395,lavamd,109.0,4.836666666666667,22.540000000000003
27,1410,lavamd,109.0,4.8,22.706666666666667
28,510,lavamd,109.0,6.446666666666666,16.906666666666666
29,525,lavamd,109.0,6.403333333333333,17.02
30,540,lavamd,109.0,6.336666666666667,17.203333333333333
31,555,lavamd,109.0,6.31,17.283333333333335
32,570,lavamd,109.0,6.266666666666667,17.39333333333333
33,585,lavamd,109.0,6.156666666666666,17.7
34,600,lavamd,109.0,6.066666666666666,17.97
35,615,lavamd,109.0,6.04,18.04
36,630,lavamd,109.0,5.953333333333333,18.30333333333333
37,645,lavamd,109.0,5.91,18.44333333333333
38,660,lavamd,109.0,5.876666666666668,18.546666666666667
39,675,lavamd,109.0,5.8933333333333335,18.5
40,690,lavamd,109.0,5.803333333333334,18.793333333333333
41,705,lavamd,109.0,5.733333333333334,19.016666666666666
42,720,lavamd,109.0,5.733333333333333,19.02
43,735,lavamd,109.0,5.69,19.15
44,750,lavamd,109.0,5.669999999999999,19.226666666666667
45,765,lavamd,109.0,5.543333333333333,19.656666666666663
46,780,lavamd,109.0,5.556666666666668,19.62
47,795,lavamd,109.0,5.663333333333333,19.246666666666663
48,810,lavamd,109.0,5.463333333333334,19.946666666666665
49,825,lavamd,109.0,5.516666666666667,19.76
50,840,lavamd,109.0,5.43,20.08333333333333
51,855,lavamd,109.0,5.383333333333333,20.24
52,870,lavamd,109.0,5.403333333333333,20.176666666666662
53,885,lavamd,109.0,5.34,20.41333333333333
54,900,lavamd,109.0,5.34,20.416666666666668
55,915,lavamd,109.0,5.25,20.76
56,930,lavamd,109.0,5.366666666666667,20.31
57,945,lavamd,109.0,5.3,20.58
58,960,lavamd,109.0,5.253333333333334,20.746666666666663
59,975,lavamd,109.0,5.216666666666667,20.90333333333333
60,990,lavamd,109.0,5.206666666666667,20.933333333333334
