,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,lud,119.0,11.92,9.986666666666666
1,1020,lud,119.0,11.69,10.18
2,1035,lud,119.0,11.64,10.223333333333334
3,1050,lud,119.0,11.626666666666663,10.233333333333334
4,1065,lud,119.0,11.466666666666669,10.38
5,1080,lud,119.0,11.296666666666669,10.53
6,1095,lud,119.0,11.35,10.486666666666666
7,1110,lud,119.0,11.163333333333334,10.663333333333334
8,1125,lud,119.0,11.13,10.69
9,1140,lud,119.0,11.066666666666668,10.753333333333332
10,1155,lud,119.0,10.926666666666668,10.89
11,1170,lud,119.0,10.873333333333337,10.946666666666664
12,1185,lud,119.0,10.766666666666666,11.053333333333333
13,1200,lud,119.0,10.603333333333332,11.22
14,1215,lud,119.0,10.59,11.236666666666666
15,1230,lud,119.0,10.593333333333334,11.233333333333334
16,1245,lud,119.0,10.396666666666668,11.446666666666667
17,1260,lud,119.0,10.283333333333331,11.57
18,1275,lud,119.0,10.406666666666666,11.436666666666667
19,1290,lud,119.0,10.193333333333332,11.676666666666668
20,1305,lud,119.0,10.176666666666668,11.696666666666667
21,1320,lud,119.0,10.066666666666666,11.823333333333332
22,1335,lud,119.0,10.08,11.81
23,1350,lud,119.0,10.093333333333334,11.793333333333337
24,1365,lud,119.0,9.85,12.083333333333334
25,1380,lud,119.0,9.8,12.14
26,1395,lud,119.0,9.836666666666666,12.093333333333334
27,1410,lud,119.0,9.956666666666669,11.953333333333331
28,510,lud,119.0,21.76,5.47
29,525,lud,119.0,21.51,5.53
30,540,lud,119.0,21.19666666666667,5.616666666666667
31,555,lud,119.0,21.06,5.65
32,570,lud,119.0,20.716666666666665,5.743333333333333
33,585,lud,119.0,20.62333333333333,5.766666666666667
34,600,lud,119.0,20.27,5.873333333333334
35,615,lud,119.0,20.116666666666667,5.913333333333334
36,630,lud,119.0,20.0,5.953333333333333
37,645,lud,119.0,18.006666666666664,6.609999999999999
38,660,lud,119.0,17.87333333333333,6.656666666666666
39,675,lud,119.0,17.7,6.723333333333334
40,690,lud,119.0,16.043333333333333,7.416666666666667
41,705,lud,119.0,15.866666666666667,7.5
42,720,lud,119.0,15.82,7.523333333333333
43,735,lud,119.0,15.65,7.603333333333334
44,750,lud,119.0,14.33,8.303333333333333
45,765,lud,119.0,14.243333333333334,8.356666666666667
46,780,lud,119.0,14.143333333333333,8.416666666666666
47,795,lud,119.0,13.956666666666669,8.53
48,810,lud,119.0,13.446666666666667,8.85
49,825,lud,119.0,13.526666666666666,8.796666666666667
50,840,lud,119.0,13.373333333333331,8.896666666666667
51,855,lud,119.0,12.95,9.19
52,870,lud,119.0,12.933333333333332,9.2
53,885,lud,119.0,12.876666666666669,9.24
54,900,lud,119.0,12.88,9.24
55,915,lud,119.0,12.626666666666663,9.426666666666668
56,930,lud,119.0,12.543333333333337,9.486666666666666
57,945,lud,119.0,12.396666666666668,9.603333333333332
58,960,lud,119.0,12.323333333333332,9.656666666666666
59,975,lud,119.0,12.04,9.883333333333333
60,990,lud,119.0,11.973333333333334,9.94
