,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,nw,115.0,19.343333333333334,5.946666666666666
1,1020,nw,115.0,19.11,6.016666666666667
2,1035,nw,115.0,18.876666666666665,6.093333333333334
3,1050,nw,115.0,18.743333333333336,6.136666666666667
4,1065,nw,115.0,18.35,6.266666666666666
5,1080,nw,115.0,18.17333333333333,6.326666666666667
6,1095,nw,115.0,17.846666666666668,6.446666666666666
7,1110,nw,115.0,17.546666666666667,6.55
8,1125,nw,115.0,17.349999999999998,6.626666666666666
9,1140,nw,115.0,17.173333333333332,6.7
10,1155,nw,115.0,16.953333333333333,6.78
11,1170,nw,115.0,16.77333333333333,6.8566666666666665
12,1185,nw,115.0,16.61,6.923333333333333
13,1200,nw,115.0,16.57,6.94
14,1215,nw,115.0,16.416666666666668,7.006666666666667
15,1230,nw,115.0,16.263333333333332,7.073333333333333
16,1245,nw,115.0,15.996666666666668,7.19
17,1260,nw,115.0,15.926666666666668,7.22
18,1275,nw,115.0,15.643333333333333,7.35
19,1290,nw,115.0,15.453333333333331,7.443333333333332
20,1305,nw,115.0,15.423333333333334,7.456666666666666
21,1320,nw,115.0,15.366666666666667,7.483333333333333
22,1335,nw,115.0,15.193333333333332,7.57
23,1350,nw,115.0,14.933333333333332,7.703333333333333
24,1365,nw,115.0,14.96,7.683333333333334
25,1380,nw,115.0,14.79,7.773333333333333
26,1395,nw,115.0,14.71,7.816666666666666
27,1410,nw,115.0,14.546666666666669,7.906666666666666
28,510,nw,115.0,35.66,3.2266666666666666
29,525,nw,115.0,35.04666666666666,3.28
30,540,nw,115.0,34.4,3.3433333333333333
31,555,nw,115.0,33.71666666666667,3.41
32,570,nw,115.0,33.166666666666664,3.466666666666667
33,585,nw,115.0,32.72666666666667,3.513333333333333
34,600,nw,115.0,32.23666666666667,3.57
35,615,nw,115.0,31.820000000000004,3.6166666666666663
36,630,nw,115.0,31.53,3.65
37,645,nw,115.0,28.87,3.986666666666667
38,660,nw,115.0,28.74333333333333,3.9966666666666666
39,675,nw,115.0,28.343333333333334,4.056666666666666
40,690,nw,115.0,26.826666666666668,4.286666666666666
41,705,nw,115.0,26.536666666666665,4.333333333333333
42,720,nw,115.0,26.21,4.386666666666667
43,735,nw,115.0,25.706666666666667,4.476666666666667
44,750,nw,115.0,24.493333333333336,4.693333333333333
45,765,nw,115.0,24.38,4.716666666666667
46,780,nw,115.0,23.886666666666667,4.8133333333333335
47,795,nw,115.0,23.64,4.86
48,810,nw,115.0,22.866666666666664,5.026666666666666
49,825,nw,115.0,22.66,5.076666666666667
50,840,nw,115.0,22.433333333333334,5.123333333333334
51,855,nw,115.0,21.686666666666667,5.303333333333334
52,870,nw,115.0,21.56,5.333333333333333
53,885,nw,115.0,21.51,5.343333333333334
54,900,nw,115.0,21.32333333333333,5.39
55,915,nw,115.0,20.88,5.506666666666667
56,930,nw,115.0,20.73,5.55
57,945,nw,115.0,20.433333333333334,5.626666666666666
58,960,nw,115.0,19.98,5.753333333333333
59,975,nw,115.0,19.540000000000003,5.886666666666667
60,990,nw,115.0,19.58,5.873333333333334
