,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,spmv,147.0,13.19,11.143333333333333
1,1020,spmv,147.0,13.113333333333332,11.21
2,1035,spmv,147.0,13.153333333333334,11.176666666666668
3,1050,spmv,147.0,13.103333333333332,11.22
4,1065,spmv,147.0,13.106666666666667,11.216666666666669
5,1080,spmv,147.0,13.13,11.196666666666667
6,1095,spmv,147.0,13.136666666666663,11.193333333333332
7,1110,spmv,147.0,13.056666666666668,11.26
8,1125,spmv,147.0,13.093333333333334,11.23
9,1140,spmv,147.0,13.079999999999998,11.24
10,1155,spmv,147.0,13.03,11.283333333333331
11,1170,spmv,147.0,13.353333333333332,11.016666666666666
12,1185,spmv,147.0,13.133333333333333,11.196666666666667
13,1200,spmv,147.0,13.066666666666668,11.253333333333336
14,1215,spmv,147.0,13.216666666666669,11.123333333333331
15,1230,spmv,147.0,13.163333333333332,11.170000000000002
16,1245,spmv,147.0,13.07,11.246666666666668
17,1260,spmv,147.0,13.11,11.21
18,1275,spmv,147.0,13.206666666666663,11.133333333333333
19,1290,spmv,147.0,13.13,11.193333333333332
20,1305,spmv,147.0,13.043333333333337,11.266666666666666
21,1320,spmv,147.0,13.08,11.236666666666666
22,1335,spmv,147.0,13.046666666666669,11.266666666666666
23,1350,spmv,147.0,13.08,11.236666666666666
24,1365,spmv,147.0,13.003333333333332,11.306666666666668
25,1380,spmv,147.0,13.073333333333332,11.243333333333332
26,1395,spmv,147.0,12.97,11.333333333333334
27,1410,spmv,147.0,13.06,11.256666666666668
28,510,spmv,147.0,18.040000000000003,8.15
29,525,spmv,147.0,18.07,8.133333333333333
30,540,spmv,147.0,18.08333333333333,8.126666666666667
31,555,spmv,147.0,17.89,8.216666666666667
32,570,spmv,147.0,17.856666666666666,8.23
33,585,spmv,147.0,17.91,8.21
34,600,spmv,147.0,17.86,8.229999999999999
35,615,spmv,147.0,17.886666666666667,8.22
36,630,spmv,147.0,17.786666666666665,8.263333333333334
37,645,spmv,147.0,16.766666666666666,8.766666666666666
38,660,spmv,147.0,16.776666666666667,8.76
39,675,spmv,147.0,16.69333333333333,8.81
40,690,spmv,147.0,15.44,9.52
41,705,spmv,147.0,15.44,9.516666666666666
42,720,spmv,147.0,15.383333333333333,9.56
43,735,spmv,147.0,15.366666666666667,9.563333333333333
44,750,spmv,147.0,14.366666666666667,10.23
45,765,spmv,147.0,14.32,10.266666666666667
46,780,spmv,147.0,14.396666666666668,10.21
47,795,spmv,147.0,14.273333333333332,10.3
48,810,spmv,147.0,13.856666666666667,10.613333333333332
49,825,spmv,147.0,13.496666666666668,10.893333333333333
50,840,spmv,147.0,13.573333333333332,10.83
51,855,spmv,147.0,13.48,10.903333333333334
52,870,spmv,147.0,13.420000000000002,10.956666666666669
53,885,spmv,147.0,13.366666666666667,10.993333333333332
54,900,spmv,147.0,13.39,10.976666666666668
55,915,spmv,147.0,13.253333333333332,11.089999999999998
56,930,spmv,147.0,13.29,11.063333333333333
57,945,spmv,147.0,13.253333333333332,11.089999999999998
58,960,spmv,147.0,13.266666666666666,11.08
59,975,spmv,147.0,13.2,11.136666666666663
60,990,spmv,147.0,13.223333333333334,11.116666666666667
