,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,srad,114.0,8.983333333333333,12.686666666666667
1,1020,srad,114.0,9.0,12.67
2,1035,srad,114.0,8.886666666666665,12.833333333333334
3,1050,srad,114.0,8.936666666666666,12.76
4,1065,srad,114.0,8.77,13.0
5,1080,srad,114.0,8.716666666666667,13.076666666666666
6,1095,srad,114.0,8.726666666666667,13.06
7,1110,srad,114.0,8.713333333333333,13.08
8,1125,srad,114.0,8.646666666666667,13.183333333333332
9,1140,srad,114.0,8.62,13.223333333333334
10,1155,srad,114.0,8.573333333333332,13.293333333333331
11,1170,srad,114.0,8.533333333333333,13.356666666666667
12,1185,srad,114.0,8.533333333333333,13.36
13,1200,srad,114.0,8.49,13.42
14,1215,srad,114.0,8.443333333333333,13.5
15,1230,srad,114.0,8.44,13.506666666666666
16,1245,srad,114.0,8.403333333333334,13.566666666666668
17,1260,srad,114.0,8.426666666666668,13.533333333333331
18,1275,srad,114.0,8.353333333333333,13.65
19,1290,srad,114.0,8.316666666666666,13.706666666666663
20,1305,srad,114.0,8.33,13.68
21,1320,srad,114.0,8.293333333333333,13.74
22,1335,srad,114.0,8.27,13.783333333333331
23,1350,srad,114.0,8.26,13.803333333333333
24,1365,srad,114.0,8.296666666666667,13.74
25,1380,srad,114.0,8.193333333333333,13.916666666666666
26,1395,srad,114.0,8.200000000000001,13.9
27,1410,srad,114.0,8.193333333333333,13.913333333333334
28,510,srad,114.0,14.9,7.66
29,525,srad,114.0,14.333333333333334,7.953333333333333
30,540,srad,114.0,14.176666666666668,8.04
31,555,srad,114.0,14.023333333333332,8.126666666666667
32,570,srad,114.0,13.87,8.216666666666667
33,585,srad,114.0,13.746666666666668,8.293333333333335
34,600,srad,114.0,13.589999999999998,8.386666666666667
35,615,srad,114.0,13.513333333333334,8.433333333333334
36,630,srad,114.0,13.396666666666668,8.51
37,645,srad,114.0,12.703333333333331,8.976666666666667
38,660,srad,114.0,12.660000000000002,9.003333333333332
39,675,srad,114.0,12.566666666666668,9.07
40,690,srad,114.0,11.693333333333332,9.75
41,705,srad,114.0,11.633333333333333,9.796666666666669
42,720,srad,114.0,11.533333333333331,9.883333333333333
43,735,srad,114.0,11.523333333333332,9.9
44,750,srad,114.0,10.703333333333331,10.65
45,765,srad,114.0,10.666666666666666,10.69
46,780,srad,114.0,10.57,10.79
47,795,srad,114.0,10.52,10.833333333333334
48,810,srad,114.0,9.996666666666666,11.403333333333334
49,825,srad,114.0,9.933333333333332,11.483333333333334
50,840,srad,114.0,9.866666666666664,11.55
51,855,srad,114.0,9.593333333333334,11.88
52,870,srad,114.0,9.576666666666666,11.903333333333334
53,885,srad,114.0,9.463333333333331,12.043333333333337
54,900,srad,114.0,9.47,12.036666666666669
55,915,srad,114.0,9.353333333333332,12.186666666666667
56,930,srad,114.0,9.273333333333332,12.3
57,945,srad,114.0,9.28,12.283333333333331
58,960,srad,114.0,9.18,12.416666666666666
59,975,srad,114.0,9.086666666666666,12.546666666666669
60,990,srad,114.0,9.01,12.65
