,dvfs,flops,kernel_runtime
0,405,1218.5833333333333,20073.418
1,412,1218.5133333333333,20074.644333333334
2,420,1218.5166666666667,20074.505333333334
3,427,1218.6433333333334,20072.516
4,435,1218.5233333333333,20074.430333333334
5,442,1218.6733333333334,20072.033333333333
6,450,1218.6333333333332,20072.63666666667
7,457,1218.6266666666668,20072.750666666667
8,465,1218.6733333333334,20072.007
9,472,1219.45,20059.239
10,480,1222.0266666666666,20016.865666666665
11,487,1232.4933333333336,19846.927666666666
12,495,1249.6666666666667,19574.130999999998
13,502,2212.4866666666667,11055.96
14,510,2233.4266666666667,10952.303666666667
15,517,2248.5533333333333,10878.637333333334
16,525,2265.78,10795.909666666666
17,532,2279.8433333333332,10729.318
18,540,2294.32,10661.631333333333
19,547,2308.09,10598.019
20,555,2320.48,10541.444000000001
21,562,2334.6966666666667,10477.246999999998
22,570,2347.936666666667,10418.161666666667
23,577,2374.72,10300.656
24,585,2447.8700000000003,9992.853
25,592,2464.683333333333,9924.675666666664
26,600,2482.03,9855.315666666667
27,607,2519.5466666666666,9708.568000000001
28,615,2637.383333333333,9274.792
29,622,2653.8699999999994,9217.178333333335
30,630,2671.3033333333333,9157.013333333334
31,637,2710.7033333333334,9023.928666666667
32,645,2846.956666666667,8592.047
33,652,2866.153333333333,8534.500666666667
34,660,2885.0266666666666,8478.663333333332
35,667,2929.706666666667,8349.363
36,675,3066.8700000000003,7975.952
37,682,3099.476666666667,7892.029666666666
38,690,3124.943333333333,7827.715
39,697,3144.84,7778.197
40,705,3273.366666666667,7472.794000000001
41,712,3359.906666666667,7280.314000000001
42,720,3384.7066666666665,7226.969666666667
43,727,3408.5966666666664,7176.3223333333335
44,735,3500.39,6988.125666666667
45,742,3586.5266666666666,6820.295333333334
46,750,3623.8233333333333,6750.1213333333335
47,757,3655.69,6691.2643333333335
48,765,3700.5166666666664,6610.208333333333
49,772,3844.7533333333336,6362.217666666667
50,780,3877.7833333333333,6308.028333333333
51,787,3923.6566666666663,6234.279333333333
52,795,3986.263333333334,6136.371666666666
53,802,4070.976666666667,6008.681333333333
54,810,4107.423333333333,5955.360666666667
55,817,4143.900000000001,5902.939666666666
56,825,4190.67,5837.051333333333
57,832,4230.546666666667,5782.038666666667
58,840,4266.753333333333,5732.971333333334
59,847,4306.06,5680.644666666667
60,855,4345.006666666667,5629.723000000001
61,862,4383.9766666666665,5579.6759999999995
62,870,4421.636666666666,5532.157333333333
63,877,4460.126666666666,5484.415666666668
64,885,4497.446666666667,5438.900333333333
65,892,4537.1033333333335,5391.364666666666
66,900,4573.886666666666,5348.009666666666
67,907,4612.07,5303.728333333333
68,915,4650.496666666667,5259.907666666666
69,922,4689.42,5216.2446666666665
70,930,4727.126666666667,5174.638
71,937,4764.913333333333,5133.604333333333
72,945,4803.5633333333335,5092.297333333333
73,952,4840.856666666667,5053.070333333333
74,960,4878.12,5014.469666666667
75,967,4916.12,4975.710666666667
76,975,4954.046666666666,4937.6140000000005
77,982,4992.253333333333,4899.829333333334
78,990,5028.856666666667,4864.1613333333335
79,997,5066.516666666666,4828.009666666667
80,1005,5104.53,4792.055666666667
81,1012,5141.086666666667,4757.9783333333335
82,1020,5179.076666666667,4723.077
83,1027,5217.113333333334,4688.641666666666
84,1035,5254.006666666667,4655.718666666667
85,1042,5291.943333333334,4622.341666666666
86,1050,5330.623333333333,4588.803333333333
87,1057,5367.473333333334,4557.299
88,1065,5414.78,4517.486
89,1072,5438.21,4498.021000000001
90,1080,5506.343333333333,4442.362
91,1087,5513.97,4436.219
92,1095,5569.026666666668,4392.36
93,1102,5581.063333333334,4382.889666666666
94,1110,5618.513333333333,4353.673333333333
95,1117,5647.666666666667,4331.202333333334
96,1125,5714.603333333333,4280.467666666667
97,1132,5721.713333333333,4275.150333333333
98,1140,5773.703333333334,4236.652333333333
99,1147,5786.963333333333,4226.945333333333
100,1155,5835.996666666666,4191.431666666666
101,1162,5858.393333333333,4175.407
102,1170,5909.266666666667,4139.461
103,1177,5932.263333333333,4123.414
104,1185,5977.426666666666,4092.2576666666664
105,1192,5984.346666666667,4087.5263333333332
106,1200,6043.290000000001,4047.659
107,1207,6045.05,4046.4806666666664
108,1215,6110.2300000000005,4003.3153333333335
109,1222,6112.990000000001,4001.509
110,1230,6159.676666666666,3971.1929999999998
111,1237,6186.233333333334,3954.1316666666667
112,1245,6240.293333333334,3919.880333333333
113,1252,6247.360000000001,3915.442333333333
114,1260,6301.526666666668,3881.786
115,1267,6311.183333333333,3875.8463333333334
116,1275,6323.099999999999,3868.543
117,1282,6326.44,3866.5026666666668
118,1290,6327.666666666667,3865.752666666667
119,1297,6331.170000000001,3863.6103333333335
120,1305,6330.693333333334,3863.902333333333
121,1312,6329.186666666666,3864.8216666666667
122,1320,6331.356666666667,3863.498666666667
123,1327,6331.093333333333,3863.6576666666665
124,1335,6332.903333333333,3862.5556666666666
125,1342,6333.093333333334,3862.4383333333335
126,1350,6328.756666666667,3865.0826666666667
127,1357,6328.666666666667,3865.139333333333
128,1365,6328.849999999999,3865.029666666667
129,1372,6327.650000000001,3865.761
130,1380,6333.8,3862.0116666666668
